Name,Topic,Title,Abstract
Alison Ross,Environmental Science,Mapping Bathymetry and Modeling Historic Features in Lake Helena,"Lake Helena is located in the northeastern area of the Helena Valley and is primarily fed by Prickly Pear Creek and Silver Creek. It was formed when Hauser Dam was constructed on the Missouri River in 1911. The underwater features of Lake Helena have not yet been documented, and in order to collect research-grade sediment cores, groundwater springs and historic stream channels, ponds, and wetlands need to be mapped. Research-grade cores need to be collected from the lake so they can be used to reconstruct the paleoclimate of the Helena Valley, and in order to get the most complete record cores need to be sampled from areas of low disturbance such as wetlands and ponds that haven’t dried out. Bathymetry and estimated sediment depth were mapped using dual frequency sonar that collected 160,000 data points on a 50 meter grid. Approximate locations of ponds, wetlands, and streams were identified on an 1899 USGS topographic map. The historic map was matched and scaled to current satellite imagery using public land survey section corners in Autodesk Civil3D. The location of one large historic pond has already been verified through sediment coring and has been identified as a possible groundwater spring. This research has also found an unusual area of 10-15 meter deep sediments in the northwest corner of the lake. Future sediment coring will continue to verify the locations of various mapped features and potentially discover the cause of the deep sediments."
"Keetyn Sayers, Jamie Pickens, Natalie Neveau",Nursing,Night Shift Nursing and Breast Cancer Risk: A Comprehensive Analysis,"Working 12-hour shifts or more during the day is something that is normal to the healthcare population. New evidence has come to light that shows that abnormal disruptions in circadian sleep rhythms along with the exposure to artificial light at night may have carcinogenic qualities that could put shift workers at an increased risk of cancer. Looking at the different types of  cancers, the most prevalent diagnosis among night shift healthcare workers appears to be breast cancer. But, because there is a need for health care services 24 hours a day, it's inevitable that a portion of healthcare professionals will work night shifts and therefore be subjected to its potential risks. The purpose of our evidenced-based review is to determine if there is an increased cancer risk for healthcare workers who work night shifts compared to healthcare workers who work day shifts. In determining whether or not there are health risks, facilities who employ night shift workers can implement screenings and protocols that would safeguard the health of their workers. This research will be extremely vital to the healthcare field because it will aid in early detection and prevention of cancer for this group."
"Sydney Gannon, Elliot Wald",Biochemistry,The Effects of Curcumin on the Response of Tetrahymena thermophila to Oxidative Stress,"Studies have shown that curcumin, the active ingredient in turmeric, helps organisms recover from oxidative stress. However, the underlying mechanisms responsible for this benefit are not well understood. Exposing the model organism Tetrahymena thermophila (T. thermophila) to curcumin allowed for genetic and behavioral investigations into curcumin’s impact on stressed cells. Based on previous research, it was hypothesized that T. thermophila treated with curcumin would be better protected against oxidative stress, as indicated by higher OXR1 expression levels, lower Rad51 expression levels, increased growth, faster speed, and less interest in oxygen when compared to controls. The T. thermophila genes OXR1 and Rad51 are involved in the oxidative stress response as they encode protective factors against stress (OXR1) and DNA damage repair proteins (Rad51). In this study, three experimental groups were established to determine how oxidative stress, induced by hydrogen peroxide, was impacted by curcumin treatment. During the 48 hour treatment period, cell counts were taken to determine growth trajectories followed by cell motility and aerotaxis assays to examine cell viability. Following the behavioral assays, Reverse-Transcription quantitative Polymerase Chain Reaction (RT-qPCR) was used to determine the expression of OXR1 and Rad51. Because curcumin protects organisms from oxidative stress, it was predicted that the presence of curcumin would increase OXR1 expression to enhance cellular protection and decrease Rad51 expression due to decreased DNA damage in T. thermophila. It was also predicted that T. thermophila treated with curcumin would better survive in an oxygen deprived environment and exhibit healthy behaviors."
Jack England,Health Science,Surgical versus Non-Surgical Treatment for Lumbar Disc Herniation,"Objective. To review current literature on the effectiveness of non-surgical treatment compared to surgical treatment for lumbar disc herniations (LDH). Methods. Literature identified through Pubmed, CINAHL, and Google Scholar was reviewed regarding the effectiveness of each type of treatment, nonsurgical (e.g. physical therapy) and surgical (e.g. microdiscectomy), and comparing the outcomes of each treatment. Results. All studies found improvement in symptoms through both surgical and nonsurgical treatment for LDH, although the majority of literature found better improved outcomes in patients who underwent surgical treatment, vs. nonsurgical treatment. Participants in seven out of the eight studies were found to have better outcomes in low back or leg pain, physical function,  and quality of life as a result of surgical treatment. Conclusions. Surgical treatment for lumbar disc herniations is associated with a better improvement of quality of life, physical function, and low back or leg pain compared to non-surgical treatment. Alternative outcomes such as negative effects of each treatment, as well as long vs. short term effects of each treatment should be studied further. Keywords: lumbar disc herniation; sciatica; lumbar radiculopathy; non-surgical; surgical; minimally invasive; conservative"
"Brittney Chapman, Samuel Conner",Psychology,The Impacts of Stress on Working Memory,"Previous research suggests physical stress has an impact on a person’s memory. In order to better illustrate the impact, this study focuses on the link between stress and auditory working memory. Working memory describes the ability to take in information, hold it for a short period of time, and then utilize that information on a subsequent task. Deficits in this specific type of memory can impact a person’s ability to follow directions and maintain conversation, along with other components of daily functioning. In the classroom, this can appear as having difficulties finishing assignments with many steps or having trouble remaining engaged during a lecture. During the study, participants (N=43) were divided into two groups. One group was exposed to stress (plunged their hand into an ice bath), while the other group was not administered any stress. Both groups were read a list of words from the Deese, Roediger, and McDermott (DRM) task and after 15 seconds were asked to write down as many of the words as they could remember. The mean number of words remembered by each group was compared and results showed the ice bath had a significant effect on the participants' auditory working memory. These observations add to the body of research regarding the negative effects of stress on working memory."
Reagan Paris,History,Irene of Athens & Theodora the Armenian: The Overlooked Heroes of the Byzantine Iconoclast Controversy,"In this paper I discuss the impact the empresses Irene of Athens and Theodora the Armenian had on the political and spiritual thinking of medieval Byzantium. I argue that these women, who brought both periods of Byzantine Iconoclasm to an end, demonstrated a political savviness and spiritual understanding that was not typically credited to women of the medieval world. Using both primary and secondary source documents, I examine the political and spiritual views of both empresses to create an understanding not only of what it meant to hold so much spiritual power, but also how they were able to navigate the struggles of being women in the male dominated sphere of Byzantine politics."
"Macie Frans, Kaitlynn Ayers",Biology,Ecological Impacts on Dermacentor andersoni Abundance and Socioeconomic Impacts on Dermacentor Disease Incidence,"Colorado Tick Fever Virus (CTFV), Rocky Mountain Spotted Fever (RMSF), tularemia, Q Fever, and anaplasmosis are endemic to western North America. The vector for these diseases are Dermacentor ticks, which are located across Montana. In other states, D. andersoni abundance was found to be correlated with elevation and other environmental factors. Abundance of Dermacentor ticks can increase disease incidence, and may also be associated with socioeconomic factors. Health disparities impact disadvantaged populations through preventable differences in disease burden and health opportunities. RMSF and Lyme disease have shown associations between incidence rates and social determinants of health (SDOH). This project tests for associations between SDOH and Dermacentor disease incidence and between environmental factors and D. andersoni abundance in Montana. Data on tick abundance was collected across 156 sites in Montana from 2013-2017. Random stratified sampling of D. andersoni occurred across three ecoregions: grasslands, intermountain valleys, and the Rocky Mountains. The abundance of ticks was organized into categorical levels. GIS elevation data was acquired from the EROS Data Center. Montana’s Department of Public Health and Human Services reports communicable diseases by county, and identified 30 counties with Dermacentor tick diseases from 2014-2018. Correlation analysis was used to test association between disease incidence and SDOH. Data for socioeconomic factors comes from the 2020 census. Using ANOVA and correlation analysis, we will present findings on the association between elevation and other environmental factors and D. andersoni abundance and SDOH and Dermacentor disease incidence in Montana."
Noah Lohar,Chemistry,Studies Towards the Acceleration of Diels-Alder Reactions using ?6-metal Arene Complex Substituents,"The Diels-Alder (DA) reaction is a cycloaddition reaction between a conjugated diene and a two-atom ? system (dienophile) that forms an unsaturated six-membered ring. DA reactions under normal electron demand conditions (diene is electron rich) are limited by the dienophile requiring an electron-withdrawing group (EWG) to proceed at a reasonable rate. These EWGs, in short, are functional groups conjugated with the ? system that can act as a ? acceptor, most commonly nitriles, carbonyl functional groups (e.g. ketones,esters, etc.), and nitro groups. The complexation of a monocationic (??5-cyclopentadienyl)metal fragment (CpM+) to the ? system of a benzenoid compound in an ??6 configuration results in significant electron withdrawal from substituents attached to the aryl ring. This functionality, therefore, may expand the applicability of the Diels-Alder reaction to progress by utilizing the CpM(??6-aryl) substituent to serve as an activating dienophile substituent. The formation of a DA adduct between CpRu(?6-ethyl trans-cinnamate)PF6 and 2,3-dimethyl-1,3-butadiene was successful as observed by 1H NMR. Characterization of the adduct has been assigned on the basis of 13C NMR, 1H NMR, and IR spectra. This research also explored the synthesis of an analogous iron complex, CpFe(?6-ethyl trans-cinnamate)PF6, to accelerate DA reactions. Compared to ruthenium, iron offers many advantages primarily due to its abundance compared to ruthenium. Herein we report our progress in synthesizing CpFe(?6-ethyl trans-cinnamate)PF6."
Mikenna Deschamps,Hispanic Studies,Setting Fire to the View of Women in Politics through Ana Mendieta's Silueta en Fuego,"Through the Silueta series, a collection of silhouettes crafted in Iowa and Mexico between 1973 and 1978, the Cuban-American artist Ana Mendieta tells her personal story of all she endured throughout her childhood while advocating for women’s rights. One of her most influential silhouettes, the Silueta en Fuego (“Silhouette on Fire”), is a powerful depiction of a woman’s body on fire, demonstrating the drive to change how gender is perceived in politics today. Mendieta’s use of natural elements to mold her works demonstrates the connection between women and nature as both are described as symbols of beauty and strength deserving of admiration and respect. Regarding art’s form, in The Aesthetic Dimension Herbert Marcuse argues that “I see the political potential of art in art itself, in the aesthetic form as such. Furthermore, I argue that by virtue of its aesthetic form, art is largely autonomous vis a vis the given social rela­tions.” But how does the aesthetic form of a work of art participate in the political configuration of gender today? In my presentation, I will demonstrate that Ana’s use of the aesthetic form in her Silueta en Fuego personifies the power of nature and women. Also, I will prove that in Silueta en Fuego fire gives women the transformative power to change the ideas of gender diving deeper into the true essence of a woman."
Faith Derby,Nursing,Infection Rates with Urinary Devices,"In 2015, The Centers for Disease Control and Prevention (CDC) reported urinary tract infections (UTI) accounted for 62,700 infections in acute hospitals. Most UTIs are caused from catheter associated urinary tract infections (CAUTIs) resulting in complications such as prolonged hospital stays, increased cost, and mortality. The Foley catheter is the most common internal urinary catheter (IUC) and consists of a tube that is inserted through the urethra, into the bladder, where urine then drains into a bag outside of the body. In recent years, a new device, a female external urinary device (FEUD), was developed as an alternative to IUCs in women. These external devices adhere to the labia with the use of continuous suction and divert urine away from the body into a canister. The purpose of this Evidence- Based Practice review is to compare infection rates of FEUDs and IUCs on CAUTIs in the female population. The outcome of this study can assist nurses with reducing CAUTIs in female patients needing a urinary device, leading to better patient outcomes."
Ryan Johnson,Data Science,Optimizing College Schedules with Genetic Algorithms,"Genetic algorithms are a unique and powerful way to find solutions to problems so complex they are impossible to solve by hand. These algorithms find their inspiration in the field of biology, based upon the concepts of natural selection. Using processes that mimic mating, gene pools, and mutation, these algorithms find a solution close to, if not exactly, an optimal solution. One practical use of these genetic algorithms is to provide better scheduling services for a college attempting to assign courses to classrooms and available time slots. In this project, I will expand upon a basic genetic algorithm to demonstrate how to create a better semester course schedule for Carroll College."
Ryan Cain,Mathematics,An Exploration of Lie Theory,"Lie theory involves the study of Lie groups, Lie algebras, and their representations. A Lie group is a manifold G, equipped with a smooth group operation × such that G × G --> G. Some of these groups, such as the orthogonal On(K), special linear SLn(K), special orthogonal SO(n), and special unitary SU(n) groups where K is in {R, C, H}, can be represented as matrices G with G as a subset of the general linear group GLn(R). Generally, such representations of G on a Euclidean space Rn are defined as a group homomorphism from G to GLn(R). A Lie algebra g of these matrix groups G is defined as the tangent space to G at the identity I, denoted g(G)=TI(G). These concepts bridge algebra and geometry, and show up in many places in physics, particularly when studying systems with continuous symmetry."
Alyx Gage,History,Italian Renaissance: The Creation of the Provocative Lucifer,"The Italian Renaissance brought forth an explosion of science, invention, literature, and art. The artists wanted to breathe new life into the classical art of the Greeks and Romans. Through this, they found a fascination in the body and proudly displayed what they had deemed the ideal body in their works. This attention to realistic bodies and presentation of them unclothed would still affect artists hundreds of years later. A key example is that of the L'ange du mal and the Genie du mal. This presentation will address the thematic connection between these statutes and Renaissance artwork. Through the press and church’s reaction to the statues, it will also address how the true meaning of art is often overlooked when faced with art that society has deemed ‘provocative’ or ‘inappropriate’ specifically regarding the human body."
Finlay Bates,Political Science,Do Non-Partisan Elections Yield More Qualified Judicial Candidates?,"A study involving four states, two with partisan judicial elections and two with non-partisan judicial elections. The comparisons uses 2 large states and two small states: The large states are Texas (partisan) and Minnesota (non-partisan). The small states are New Mexico (partisan) and Montana (non-partisan). It is meant to discern which system for electing candidates results in more qualified elected state supreme court justices. The study was conducted using criteria from the American Bar Association and other third-party judge rating sources. I use a scoring system that takes the following into account: Clerkship, years of practice, education level, School/institution, political experience, supreme court cases, # of won elections at the federal or state supreme court level, and the number of times they were elected to a lower state court. The study adds to the literature on the quality of candidates in our increasingly polarizing world. Some conclusions have been reached about the data collected; in larger states, the difference in scores between the elected candidates and the losing candidates was not significant. But in the small states, where there is less competition, the partisan state elected the less qualified candidate, while in non-partisan Montana, the more qualified candidate was chosen by the vote. The other observation that came from my research is that in states with partisan elections seats on the State Supreme Court were more likely to be contended for."
Josie Gale,Honors Scholar,Challenged by Atrocity: Letting the Holocaust Challenge Our Operative Moral Frameworks,"Atrocities like the Holocaust force us as a society to confront who we are and how we understand ourselves. Primo Levi's Survival in Auschwitz offers us a narrative of his experience as a prisoner in the Auschwitz concentration camp. His powerful recollection of daily life in the camp raises critical questions about what it means to be human and compels us to challenge some of our long-standing operative moral frameworks. One example of an operative moral framework comes from Augustine of Hippo, whose understanding of the human condition presented in his autobiography Confessions, has long informed our Western imagination. After contemplating Levi’s experience in Auschwitz, I ask: can Augustine’s take on the human condition, his notion of the good, and the role of free will be applied to all moral situations? What about situations where people are physically enslaved and in bondage or victimhood from serious trauma? Is Augustine’s framework still applicable today? Grappling with these questions in light of these two texts, I hope to demonstrate how the extreme evil witnessed and the trauma caused by the Holocaust must challenge our moral imaginations if we hope to learn from these atrocities and build more just societies."
Andrew Devine,Philosophy,"Ignorance is not Bliss, Truth is","We live in a world where learning is increasingly devalued unless it brings about some economic benefit. In this world ignorance is often seen as bliss and knowledge a hindrance to happiness. In my presentation I will seek to answer questions such as, is knowledge good for its own sake or is it only good in so far as it is useful? And, why ignorance seems to be bliss? I will argue that knowledge is good apart from its usefulness because truth is our end and that thing which brings us happiness, and that we are made to both know and love the truth."
Abby Robo,Gender Studies,The Status and Reception of Female Agricultural Workers in ¬1910s Rural Montana,"After her husband Gustave died in a mining accident in Alberta, Canada, she was left to raise her three children and sustain their homestead all on her own. This research aims to theorize what life was like for her as an immigrant in a small town on the Hi-Line of Montana, raising her children in an ethnic enclave of Estonian immigrants. Records of Emma Roboweitra’s life experiences will be analyzed in light of works by theorists like Simone De Beauvoir, Paula England, and Luce Irigaray who have written on the broad experiences of women. Using these and further research on the historical role of women in agriculture, this research examines what life was like for Emma Roboweitra and others situated like her, getting to the bottom of what her status was like and the reception from others in her community. "
Nathan Hicks,Psychology,Reclaiming Serenity: How outdoor experiences may help improve Veterans' mental health,"Many individuals claim that being outdoors can help improve mental health. However, most research focuses on treatment as usual with nature-based therapies as an addition or complement. Previous research indicates that nature-based therapies may be beneficial in alleviating symptoms associated with trauma, depression, and anxiety (Gelkopf et al., 2013; Merchand et al., 2018). Recently, evidence has suggested that just being in nature may help to reduce anxiety and improve overall mental health symptoms (Wheeler et al., 2020). The current study analyzed results from 32 Veterans who completed a set of questionnaires both before and after a five-day outdoor adventure at a cabin on the Big Hole River in Montana. Veterans were administered the PTSD Checklist (PCL-5), State and Trait Anxiety Inventory (STAI-6), and the Connor-Davidson Resilience Scale (CD-RISC-25) two weeks before the 5-day trip, and two weeks after the 5-day trip. Preliminary results suggest that overall mental health symptoms significantly improved following the 5-day adventure. Anxiety, both state and trait, significantly improved after the trip. PTSD symptoms significantly improved, and resiliency ratings increased. This study suggests that a five-day outdoor trip may significantly enhance Veterans' mental health, highlighting nature's role in reducing stress and improving well-being. The findings prompt further investigation into the longevity of these mental health improvements."
June LePage,Honors Scholar,Speaking for Ourselves: Women in History and Literature Rejecting Dominant Narratives on the Human Condition,"Until recently, the experiences and voices of women have predominantly been excluded, undermined, and ignored in western discourse on the human condition. The result of this is that men have historically dominated the conversation, and often hijacked the wisdom and contributions of women, making the male experience the normative and narrow definition of what it means to be human. An example of men undermining the narratives of women is illustrated in Praise of Folly by Desiderius Erasmus (1509) and his feminized personification of foolishness. The interjection of a man's thoughts into the image of a woman is not an uncommon phenomenon. Men's portrayal of women as figures such as Lady Liberty, Columbia, Lady Philosophy, or Mother Nature, reflects an idolized version of womanhood that ignores the reality of women's experience and leaves us with a skewed understanding of the human condition. In her 1792 work A Vindication of the Rights of Woman with Structures on Political and Moral Subjects, Mary Wollstonecraft challenges this narrative. By inserting herself into the European intellectual conversation of the time, Wollstonecraft argues how preempting a woman's experience does a great disservice to her and humanity in general. When Wollstonecraft prompts other authors to write and think in more nuanced and liberated fashions, later authors like Zora Neal Hurston embody the reclaiming of the feminine image and feminine voice by writing to reflect real women’s experiences as complex and dynamic humans. In her narrative Their Eyes Were Watching God (1937), she speaks to a woman’s wisdom with the life of her character Janie, whom society tries to constrain as a black woman. Janie’s story illustrates the intersectionality and complexity of human nature that has been ignored for far too long; Wollstonecraft calls all women to help deconstruct the oppressive dominant narratives penned and perpetuated by men. By exploring Hurston’s novel, this presentation will argue that Wollstonecraft’s insightful critique continues to be relevant and challenge us today."
John Paul Robertson,Anthrozoology,Animalistic Desires: An Examination of Wisdom and Knowledge in Creation,"Working with the Wisdom Tradition outlined in Elizabeth Johnson’s Ask the Beasts: Darwin and the God of Love, this paper is directed  By placing the conclusions found within the influential text in contrast to the human knowledge acquired at the Tree of Knowledge of Good and Evil, a deeper understanding of wisdom develops, one that initiates an examination into the relationship between humans and the external natural world."
Anzhela Stoliar,Gender Studies,The #MeToo Movement and Its Effect on Women’s Representation in Vogue,"Social movements influence mass media and force them to change to stay relevant to their audience. At the same time, mass media shows shifts happening in the world and thus affects how people perceive one issue or another.  Vogue is a worldwide popular magazine for women that mostly focuses on fashion but also covers other areas such as culture, TV shows, and so on. The recent research focused on analyzing the representation of women in Vogue in general by discussing under- or misrepresentation. This study seeks to determine if the #MeToo movement, which allowed victims of sexual harassment to get their voices heard, had influenced Vogue's representation of women in their magazines one year after the movement started. The study examines the front page of Vogue magazine from five different countries from different regions of the world. The findings show that the front page of Vogue magazine has not changed since the #MeToo movement started, and the images presented on the front page still reinforce messages of weakness, vulnerability, and sexualization of women."
"Martha Schwarz, Chloe Gallagher",Engineering,Lincoln Airport Tie-Downs,"The Montana Department of Transportation (MDT) Aeronautics Division brought an airport campground tie-down project to the Carroll College Engineering class, Senior Design Project. MDT Aeronautics was seeking assistance in the design of permanent tie-downs at the grass campground parking area at Lincoln Airport in Lincoln, MT. Within the project description, the team was tasked with determining the location to place tie-downs and quantity to include in the layout, if earthwork is required, and the type of tie-downs. There were two categories of alternatives evaluated by the team to meet the expectations of the project sponsor. The two categories are the method of laying concrete, pre-cast or on-site pour, and the anchor, mooring eye, D-ring, or cable. When determining the method of laying concrete the team looked at the feasibility and cost of both options and determined an on-site pour would be the suitable option for this project. This decision was made on the basis that the quantity of concrete needed per tie-down and the number of tie-downs was too small to justify the cost of custom precast blocks. A part of making the concrete method decision was deciding what style of anchor would be the most appropriate for the parking area. This was determined by cost, design life, and needed maintenance. After an analysis of the three anchors, it was determined that the mooring eye, although slightly more expensive, has the longest design life and the least amount of required maintenance. The mooring eye and on-site pour concrete are the most effective designs to fit the sponsors' needs. The mooring eye is the place for pilots to fasten straps to anchor the aircraft. There is a metal grove with a bar across, acting as a place to feed the tie-down straps through the groove and tie off to the metal bar. Mooring eyes are the most commonly used tie-down at airports. The mooring eyes will need to be purchased and brought to the site. During the time of construction, the mooring eyes will be embedded into the concrete during the on-site pour. The on-site pour of concrete is the most economically feasible option. The pour has less variability and can be customized to meet the needs of the project. The concrete mix and shape of the embedded block will be designed based on the forces the anchors are required to withstand from uplift on the aircraft. The final layout will include at most 6 parking spots, each with three anchoring points. Aircraft will be required to push the aircraft into or out of their respective parking space. The final design will be completed by May 2024. The final design report will include a site map, material quantities, cost evaluation, and design plans"
Megan Olsen,Hispanic Studies,Pablo Neruda: The Power of Words from a Figure of Poetic Political Potential,"Pablo Neruda is an internationally recognized poet, accredited especially for his political poetry. His use of poetry to remark on the political environments of Latin America has made his work popular amongst many, in both good and bad ways. This is illustrated in the movie, Neruda, directed by Pablo Larraín, which depicts the story of this controversial poet leadingpoet leading to his desired arrest. Much of this conflict is reflected in his book of poems, canto general. Within this are two poems which specifically demonstrate his strong political stance: los dictadores and La United Fruit Co. This theme of using his artistic status to communicate his political ideas invokes the conversation of political potential in art. Ana María Pérez Rubio explains the rise of the influence of political themes in art, and the power and effect that the use of art can have in political communication. So, I propose the question: what can we learn about the power of words within the works of Neruda? Neruda uses his poetry to present political commentary and critiques of Chilean politics, as demonstrated in his poems, los dictadores and La United Fruit Co, and the power of his works are confirmed in the fear he invokes in the Chilean government, as demonstrated in the Neruda the movie."
Luke Ostberg,Honors Scholar,Only True Love of God Can Set the Human Free,"Desiderius Erasmus’s Praise of Folly and the Song of Songs from the Old Testament show love’s capacity for filling life and giving it joyful purpose. In a theme of abandonment, Praise of Folly demonstrates that the most foolish lovers are Christians and that their foolishness makes them the most free people from worldly concerns and misery. In a different manner, the Song of Songs shows two lovers who abandon themselves to each other such that they only care for the other and lose all worries about themselves. This example of perfect abandonment in spousal love is an allegory to the love that exists between Christ and the Church and between Christ and the Christian. In these interpretations, both of these texts imply that the most joyful and free life comes from a giving over of self to the best of lovers, who is God. In giving over ourselves to God, we lose self interest and find ourselves entirely interested in God, who is a lover that does care for and provide for our self. This presentation will demonstrate that only a true and abandoning love of God allows us to be free from the burdens and misery of self-interest, free to live life in joy with God."
Maile Coleman,Hispanic Studies,"The Hope in Memory in A Twelve-Year Night, by Álvaro Brechner","The film A Twelve-Year Night, by the Uruguayan director Álvaro Brechner, narrates the real story of the captivity of three revolutionaries of the Tupamaros guerilla. These rebels, one of whom would be the future president of Uruguay, were imprisoned by the regime of Juan María Bordaberry’s civic-military dictatorship, and kept in uncommunicated confinement for twelve years. These three men lived in a manner in which no human should ever live, but they visited their memories in order to survive with hope. According to Jorge Majfud in “The Memories of  Oblivion'', “[la] mayor virtud [del cine Latinoamericano] es la interrogación, la trascendencia más allá del hecho cinematográfico: el rescate de la memoria colectiva” (“[the] greatest virtue [of Latin American cinema] is the interrogation, the transcendence beyond the cinematographic fact: the rescue of the collective memory”).  Taking into account that in this film we witness these men cling to their memories, as well as to the collective memories of their country before the civic-military dictatorship, we can ask how can the collective memory of life before captivity inspire these men in a time of oppression and corruption? In this essay I affirm that in A Twelve-Year Night we can explore how the hope that memory gave these three men influenced their resistance. Also, I will reveal how, through their collective memory, the men found hope in the midst of the statism of their stolen time. Finally, I will demonstrate that this hope then feeds resistance in an age of oppression and corruption."
Ariana Collins,Catholic Studies,Caritas in Dolores: Love in Sorrows,"There is a particular fragility to human life,  in the sense that all human persons are subject to experience suffering. The question of suffering being one that for centuries has perplexed the human mind. In  this study I seek to engage said question in a theological sense. Exploring the nature of suffering with Christ, united to the cross. Moreover, illuminating the ways in which suffering with Christ frees the soul to love Christ (and others) more profoundly. Oftentimes in enduring pain and strife (moments coinciding with suffering) the subject turns inward. In this way they limit their capacity to receive and give love. In suffering with Christ, one increases their capacity to receive and give love. In this study I explore then the purgative nature of suffering with Christ, its matrimonial and procreative nature. Indicating how love in suffering is a vocation in itself that is done in the littleness of everyday life."
Steven Santos,Nursing,Infection Incidence in Invasive Procedures: Evaluating the Impact of Sterile and Clean Techniques,"Infection incidence during invasive procedures in modern healthcare poses a pressing concern, necessitating an examination of techniques used to mitigate infection risks. According to the Centers for Disease Control and Prevention (CDC), 1 in every 31 patients acquires a healthcare-associated infection (HAI) each day, with an estimate of 687,000 yearly in the U.S.. Moreover, among these estimates, roughly 72,000 patients die during their HAI hospitalization each year. In addition to the morbidity rates, HAIs require extended medical interventions, medications and further care resulting in the hospital incurring billions of dollars in excess health care costs. Invasive procedures within the healthcare industry carry a risk for infection, thus the optimal approach to minimize infection necessitates the need for a comprehensive evaluation. Sterile technique involves adherence to aseptic, free from contamination, procedures that aim at eliminating all microorganisms from the procedural environment. In contrast, clean technique is characterized by the prioritization of cleanliness without achieving sterility, or the complete elimination of microorganisms within the procedure.  The purpose of this review is to focus on infection incidence and infection control by examining the comparative effectiveness of sterile versus clean technique within the context of patients undergoing invasive procedures. The synthesis of these research findings should drive substantive changes for nursing and other healthcare providers by enhancing patient safety and facilitating optimal infection protocols within the clinical setting."
"David Wassmuth, Jim Wong",Engineering,Stanford Airport Taxilane Design,"Stanford Airport/Biggerstaff Field is pursuing construction of additional airplane storage and parking to increase airport revenue. To accomplish this, new taxi lanes are required to provide locations for future hangars and aprons. Robert Peccia and Associates (RPA) approached the Carroll College Senior Engineering Design class to create a detailed location and pavement design analysis. This project is located just south of the town of Stanford Montana. Currently our team has determined the location and layout of the taxi lanes by evaluating different location alternatives and comparing cost analyses at each location. Economical, societal, and environmental aspects of each design were considered and classified to determine the best design for each of these concerns. The selected location requires minimum demolition of existing structures and also creates the least unnecessary runway traffic. To complete the design, we must produce cost-effective and useful pavement design as well as provide detailed engineering drawings to ensure accurate construction of the project. To complete this, we used the FAA-approved pavement design software, FAARFIELD, as well as Autodesk products to create high-quality, professional engineering designs. Using the work completed last semester as well as the skills and software necessary to complete this semester, we created and will present a robust engineering design of the Stanford Airport taxi lanes that is cost-effective, feasible, ethical, and satisfies the needs of the project owners."
Erin Welter,Gender Studies,An Analysis of American Westernization and Its Influence on Germany and Rwanda in the Aftermath of War and Genocide,"The purpose of this research is to analyze inclusive measures in policy of countries that received aid from the United States after genocide and war. Specifically, if these measures have the intention of centering women in political representation. Data was collected from internet sources on Google Scholar and the Carroll College Academic Databases to research this. The results show that German political female representation is currently 34.92% of Parliament, placing it 42nd in the world, while the Rwandan Parliament is 61%, placing it 1st for women in Parliament. The United States has a percentage of 28% women, and the global average is 25.8%. The findings also show that the idea of a woman’s role in society has been affected by the conflict each country has gone through. This suggests that Westernized ideas from the United States might have fueled reform. However, it would appear that Germany and Rwanda have surpassed America in political inclusivity based on gender."
Lucas Dawson,Nursing,Optimizing Ventilation: Evaluating Tidal Volumes with Adult vs. Pediatric Bag Valve Masks,"During cardiopulmonary resuscitation (CPR) the bag valve mask (BVM) is commonly used to provide manual ventilation. With more than 356,000 out-of-hospital cardiac arrests every year, proper ventilations with the BVM is imperative. Excessive ventilation with a BVM can lead to barotrauma, volutrauma, and lung damage, leading to poor patient outcomes. Currently, BVMs have the capacity to deliver large tidal volumes that exceed lung protective thresholds. This increases the risk of barotrauma and volutrauma. Adult BVMs have volumes of 1000mL and pediatric BVMs between 450-650mL. The average adult male has a tidal volume of 500mL and females an average of 400mL. The purpose of this Evidence-Based Research is to assess whether using pediatric BVMs versus adult BVMs results in tidal volumes within lung protective volumes. Nurses and healthcare providers can use this information to deliver appropriate tidal volumes with the BVM. Physiologically appropriate tidal volumes reduce the risk of lung injury and improve patient outcomes. Understanding the differences between the adult and pediatric BVM can guide clinical practice to align with lung protective strategies."
Megan Olsen,Honors Scholar,The Role of Knowledge Examined Through Marlowe’s Doctor Faustus and Eliot’s The Waste Land,"This presentation reflects an investigation into the roles and limitations of human knowledge as evidenced by Christopher Marlowe’s Doctor Faustus and T.S. Eliot’s The Waste Land. Through Doctor Faustus’ questioning of the limits of knowledge and discernment of whether to endeavor into understanding beyond what is seen as acceptable by societal norms, the tragedy highlights the struggle to balance the conflicting pursuits between devotion to divinity and an inherent curiosity for proliferation of knowledge. Though both texts explore the role of knowledge, they are different in context. While Doctor Faustus is faced with barriers which challenge the role of knowledge in his personal experience, T.S. Eliot presents a fragmented and complex poem which leads one to wonder about the purpose of knowledge in the context of a broken and incoherent world. This contrast provides opportunity for analysis and ultimate conclusion on the roles of knowledge in the human experience across varied conditions. Whether limited by societal expectations or considered from the perspective of a broken and devastated society, the role of knowledge can be theorized through analysis of Marlow’s and Eliot’s works."
